#,Artiste,Titre,fileDate,freq,True_Target,CleanedTitle,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
36,Aya Nakamura ,Jolie nana,20-11-21,2,False,Jolie nana,65RWVU6N81CeH65nu52K1U,72,0.813,0.64,2,-5.908,1,0.272,0.269,0,0.131,0.488,92.989,147076
37,Kylie Minogue ,Magic,20-11-21,12,True,Magic,0I4658wYMK45Ffx1IlKRjG,65,0.732,0.782,0,-4.844,1,0.03,0.0268,9.94e-06,0.106,0.655,106.048,250680
40,Aya Nakamura ,Doudou,20-11-21,1,False,Doudou,1Z8zI3ue4kg77xusnNOQO4,0,0.773,0.609,4,-5.855,0,0.244,0.136,0,0.0729,0.697,98.071,168719
41,Billie Eilish ,Therefore I Am,20-11-21,14,True,Therefore I Am,54bFM56PmE4YLRnqpW6Tha,91,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,174321
45,Robin Schulz & Wes ,Alane,20-11-21,1,False,Alane,2u6Jm2klS4yvAlbSHlxUwI,74,0.581,0.799,3,-6.66,1,0.164,0.0419,9.43e-06,0.11,0.662,124.002,175016
48,Black Eyed Peas x Nicky Jam x Tyga ,Vida loca,20-11-21,6,True,VIDA LOCA,6c6Pr4ALb2SD7j7UnS5YDE,68,0.885,0.618,10,-5.705,0,0.0544,0.0225,2.17e-05,0.325,0.769,127.983,234375
49,Lucenzo ,No me ama,20-11-21,3,True,No Me Ama,4DN8e56DFCEXISA8Uqz5Pw,52,0.799,0.675,7,-5.999,0,0.0772,0.418,0,0.0958,0.678,96.797,167474
23,Zola feat. Sch ,9 1 1 3,20-11-28,2,False,9 1 1 3,2DEOU0i9hGeHH3VHVGbZHx,57,0.909,0.636,6,-6.581,0,0.236,0.168,0.000227,0.346,0.42,100.954,159012
36,Aya Nakamura feat. Stormzy ,Plus jamais,20-11-28,6,True,Plus Jamais (feat. Stormzy),7iZVBT6LV32t4l00p73VAw,74,0.605,0.419,1,-9.032,1,0.0342,0.373,0,0.128,0.291,152.161,175257
42,Henri PFR x Famba feat. Chiara Castelli ,No One Knows,20-11-28,13,True,No One Knows (feat. Chiara Castelli),0dQQQRxfaTjjDdpno92mTT,60,0.725,0.767,11,-7.472,0,0.0501,0.114,5.29e-06,0.0954,0.447,124.103,147097
47,Maluma & The Weeknd ,Hawái (Remix),20-11-28,10,True,Hawái - Karaoke Version Originally Performed By Maluma & The Weeknd,2eh7GB3R38LqPpjEDnVpbE,1,0.653,0.98,2,-7.219,1,0.0971,0.0561,0.0317,0.57,0.467,117.981,204366
48,Ofenbach & Quarterhead feat. Norma Jean Martine ,Head Shoulders Knees & Toes,20-11-28,9,True,Head Shoulders Knees & Toes (feat. Norma Jean Martine),6i7zAdNhzUN2k1HcrBxPHG,83,0.798,0.828,2,-5.36,1,0.193,0.0247,2.55e-06,0.121,0.6,124.962,156960
49,Dadju feat. Tiakola ,Dieu merci,20-11-28,6,True,Dieu merci,4kTF7OQVjTSZ5zdRqo8zxx,70,0.718,0.524,8,-7.183,0,0.0587,0.395,0,0.215,0.825,133.998,211649
27,Dinos feat. Nekfeu ,Moins un,20-12-05,2,False,Moins un,7xISE22N518t5HLsibFvEC,67,0.918,0.399,1,-8.795,1,0.37,0.19,0,0.0751,0.483,109.031,203453
38,Twocolors ,Lovefool,20-12-05,2,False,Lovefool,51Of5p3lKZeOg6itfs4og4,82,0.677,0.766,6,-6.896,1,0.0568,0.0219,6.81e-06,0.129,0.198,123.062,190488
43,Vald ,Gotaga,20-12-05,1,False,Gotaga,2diEeH1DjfrYGRlXENLkdY,64,0.493,0.702,11,-6.457,0,0.275,0.251,0,0.338,0.342,199.739,138053
47,Maître Gims ,Jusqu'ici tout va bien,20-12-05,14,True,Jusqu'ici tout va bien,3nFeSrghy0gmuhkuPPiXzQ,50,0.755,0.511,5,-6.914,0,0.0432,0.41,0,0.0768,0.48,122.971,234174
48,HVME ,Goosebumps,20-12-05,14,True,Goosebumps - Remix,5uEYRdEIh9Bo4fpjDd4Na9,90,0.841,0.593,1,-7.846,1,0.0379,0.418,0,0.124,0.808,124.917,162803
32,Eva [FR] ,Cœur noir,20-12-12,6,True,Cœur noir,2SYYB9pwxbYJducVc2xGWD,75,0.492,0.528,8,-6.245,0,0.0721,0.644,0,0.107,0.461,115.679,180573
35,The Weeknd ,Blinding Lights,20-12-12,8,True,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,96,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040
39,Kygo x Donna Summer ,Hot Stuff,20-12-12,13,True,Hot Stuff,00ETaeHUQ6lops3oWU1Wrt,74,0.681,0.773,5,-5.749,1,0.148,0.019,1.28e-06,0.11,0.429,119.961,199008
44,Amir [FR] ,On verra bien,20-12-12,9,True,On verra bien,4pXVE8UhqP0E0xsO5M4kHQ,50,0.648,0.719,8,-6.528,0,0.13,0.101,0,0.096,0.244,124.076,190374
47,M. Pokora ,S'en aller,20-12-12,4,True,S'en aller,2K7cwKdycqKKHNoAdwRX5V,29,0.781,0.707,7,-6.232,0,0.0401,0.311,0,0.078,0.588,109.978,188973
49,SAINt JHN ,Roses (Imanbek Remix),20-12-12,1,False,Roses - Imanbek Remix,0zLCBJZSiELJf02ucPP9wb,75,0.769,0.719,8,-5.472,1,0.0474,0.0143,0.00777,0.359,0.863,121.955,176867
23,Lil Nas X ,Holiday,20-12-19,11,True,HOLIDAY,6zFMeegAMYQo0mt8rXtrli,88,0.81,0.511,5,-6.924,0,0.164,0.12,0,0.0832,0.837,151.947,154998
33,Indochine feat. Christine And The Queens ,3Sex,20-12-19,12,True,3SEX,15rbohvA7sY5AMoD3gMMFo,48,0.694,0.631,0,-8.656,1,0.0518,0.445,2.28e-05,0.162,0.275,137.999,256027
38,Jul & Sch ,Mother Fuck,20-12-19,5,True,Mother Fuck,6PqRRt5BCxO6tay5Nry0dj,70,0.807,0.87,1,-5.109,1,0.0812,0.448,0.000278,0.0964,0.566,139.994,216867
48,Meduza feat. Dermot Kennedy ,Paradise,20-12-19,12,True,Paradise (feat. Dermot Kennedy),6ft4hAq6yde8jPZY2i5zLr,91,0.632,0.595,8,-7.644,0,0.0401,0.0689,0,0.209,0.435,124.114,167903
49,Louane ,Désolée,20-12-19,5,True,Désolée,4j2KuzWSozezx5ecm1777f,42,0.781,0.631,7,-8.013,0,0.207,0.339,1.86e-06,0.107,0.568,102.996,183120
38,Suarez feat. Maria Del Rio ,Feliz Navidad,20-12-26,2,False,Feliz Navidad,5rQmkDyS4dw5exeFGaIAtD,24,0.694,0.7,9,-4.513,1,0.0356,0.437,0,0.348,0.888,140.006,140835
42,Shawn Mendes / Justin Bieber ,Monster,20-12-26,7,True,Monster (Shawn Mendes & Justin Bieber),2Z8yfpFX0ZMavHkcIeHiO1,87,0.652,0.383,2,-7.076,0,0.0516,0.0676,0,0.0828,0.549,145.765,178994
48,Laura Tesoro & Loïc Nottet feat. Alex Germys ,Strangers,20-12-26,11,True,Strangers (feat. Alex Germys),7326VW0SoLLJ6CXg4Z0dyC,60,0.691,0.535,1,-8.404,1,0.0454,0.0966,6.1e-05,0.0848,0.255,104.006,198787
30,Ed Sheeran ,Afterglow,21-01-02,9,True,Afterglow,0E4Y1XIbs8GrAT1YqVy6dq,88,0.641,0.324,11,-5.851,1,0.0299,0.698,0,0.328,0.273,110.184,185487
43,Calogero ,Celui d'en bas,21-01-02,9,True,Celui d'en bas - Edit,6F9zYTeHis63GodcFJl3cb,53,0.546,0.562,11,-8.322,0,0.0304,0.282,0,0.0678,0.502,141.912,222520
50,Miley Cyrus feat. Dua Lipa ,Prisoner,21-01-02,6,True,Prisoner (feat. Dua Lipa),5JqZ3oqF00jkT81foAFvqg,87,0.781,0.67,3,-3.912,0,0.0452,0.0103,0,0.0761,0.595,127.99,169333
44,Robin Schulz feat. Kiddo ,All We Got,21-01-09,9,True,All We Got (feat. KIDDO),1FP9s72rDYty6mfoOEYKnE,85,0.504,0.76,4,-4.246,1,0.0426,0.286,0,0.151,0.64,183.933,190218
50,Bad Bunny x Jhay Cortez ,Dákiti,21-01-09,8,True,DÁKITI,47EiUVwUp4C9fGccaPuUCS,93,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090
37,Black Eyed Peas x Shakira ,Girl Like Me,21-01-16,8,True,GIRL LIKE ME,1zLBsSVxETQOfINOLYvT5m,89,0.965,0.485,2,-8.784,1,0.191,0.0206,0.0237,0.0655,0.312,124.025,222523
45,Tones And I ,Fly Away,21-01-16,4,True,Fly Away,5ri4zqtWhG07hIuNNDWP76,83,0.806,0.513,4,-6.208,1,0.0685,0.217,0,0.217,0.503,124.988,178157
13,Olivia Rodrigo ,Drivers License,21-01-23,7,True,drivers license,7lPN2DXiMsVn7XUKtOW1CS,100,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-05,0.105,0.132,143.874,242014
33,Grand Corps Malade ,Pas essentiel,21-01-23,5,True,Pas essentiel,4zdlwusc7gvtqTywDEvslg,59,0.792,0.907,8,-4.992,1,0.0665,0.191,0.000326,0.0777,0.591,117.019,175449
37,Vitaa & Slimane ,De l'or,21-01-23,7,True,De l'or,0A55X20X5KcBcTVceC0D0s,32,0.561,0.598,5,-6.158,1,0.0571,0.149,0,0.0689,0.538,104.764,228984
38,Ava Max ,My Head & My Heart,21-01-23,7,True,My Head & My Heart,1KixkQVDUHggZMU9dUobgm,87,0.614,0.934,9,-3.709,0,0.07,0.0697,0,0.121,0.436,116.001,174760
