#,-1,S,Artiste,Titre,Label,Distributeur,MP,fileDate
35,33,22,Grand Corps Malade & Camille Lellouche,Mais je t'aime,CAROLINE,UNIVERSAL,12,21_11_2020
36,RE,17,Aya Nakamura,Jolie nana,REC. 118,WARNER,2,21_11_2020
37,NEW,1,Kylie Minogue,Magic,BMG RIGHTS,WARNER/ADA,37,21_11_2020
38,34,4,Calvin Harris / The Weeknd,Over Now,COLUMBIA/REPUBLIC,SONY/UNIVERSAL,34,21_11_2020
39,37,3,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,37,21_11_2020
40,NEW,1,Aya Nakamura,Doudou,REC. 118,WARNER,40,21_11_2020
41,NEW,1,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,41,21_11_2020
42,36,23,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2,21_11_2020
43,50,2,Tiësto,The Business,ATLANTIC,WARNER,43,21_11_2020
44,40,2,Alliel,Ce qui nous rend fous,PARLOPHONE,WARNER,40,21_11_2020
45,RE,16,Robin Schulz & Wes,Alane,WARNER,WARNER,5,21_11_2020
46,38,4,Pop Smoke,What You Know BoutLove,REPUBLIC,TOPNOTCH/UNIVERSAL,38,21_11_2020
47,39,14,Franglish feat. Tory Lanez,My Salsa,DEF JAM,UNIVERSAL,35,21_11_2020
48,RE,2,Black Eyed Peas x Nicky Jam x Tyga,Vida loca,EPIC,SONY,45,21_11_2020
49,RE,3,Lucenzo,No me ama,PLAY TWO,WARNER,37,21_11_2020
50,16,2,Booba,5G,CAPITOL,UNIVERSAL,16,21_11_2020
1,1,12,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,23_01_2021
2,2,18,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,2,23_01_2021
3,4,17,BTS,Dynamite,BIGHIT,SONY,3,23_01_2021
4,9,11,Tiësto,The Business,ATLANTIC,WARNER,4,23_01_2021
5,8,14,Tate McRae,You Broke Me First,RCA,SONY,5,23_01_2021
6,7,17,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,6,23_01_2021
7,10,11,Julien Doré,Nous,COLUMBIA,SONY,7,23_01_2021
8,15,6,Indochine feat. Christine And The Queens,3Sex,RCA,SONY,8,23_01_2021
9,6,13,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,6,23_01_2021
10,3,17,Vianney,Beau-papa,TOT OU TARD,PIAS,3,23_01_2021
11,5,20,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,23_01_2021
12,13,16,Clean Bandit and Mabel feat. 24kGoldn,Tick Tock,ATLANTIC,WARNER,8,23_01_2021
13,NEW,1,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,13,23_01_2021
14,23,10,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,14,23_01_2021
15,11,17,Kendji Girac feat. Gims,Dernier métro,DEF JAM,UNIVERSAL,11,23_01_2021
16,17,18,Miley Cyrus,Midnight Sky,RCA,SONY,6,23_01_2021
17,20,6,Lil Nas X,Holiday,COLUMBIA,SONY,17,23_01_2021
18,14,14,Banners,Someone To You,ISLAND,UNIVERSAL,11,23_01_2021
19,24,10,Kylie Minogue,Magic,BMG RIGHTS,WARNER/ADA,19,23_01_2021
20,18,7,Kygo x Donna Summer,Hot Stuff,RCA,SONY,18,23_01_2021
21,22,5,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,21,23_01_2021
22,25,9,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',WARNER,22,23_01_2021
23,29,3,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,23,23_01_2021
24,37,2,Black Eyed Peas x Shakira,Girl Like Me,EPIC,SONY,24,23_01_2021
25,21,8,Maître Gims,Jusqu'ici tout va bien,PLAY TWO,SONY,21,23_01_2021
26,28,14,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,15,23_01_2021
27,30,22,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,3,23_01_2021
28,35,8,HVME,Goosebumps,B1,SONY,28,23_01_2021
29,27,9,Maluma & The Weeknd,Hawái (Remix),SONY LATIN,SONY,27,23_01_2021
30,12,17,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,4,23_01_2021
31,32,25,Amel Bent x Imen Es,Jusqu'au bout,DEF JAM,UNIVERSAL,6,23_01_2021
32,16,20,Lucky Luke,Cooler Than Me,B1,SONY,8,23_01_2021
33,NEW,1,Grand Corps Malade,Pas essentiel,CAROLINE,UNIVERSAL,33,23_01_2021
34,19,6,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,19,23_01_2021
35,33,6,Amir [FR],On verra bien,PARLOPHONE,WARNER,32,23_01_2021
36,36,3,Louane,Désolée,MERCURY,UNIVERSAL,36,23_01_2021
37,NEW,1,Vitaa & Slimane,De l'or,DEF JAM,UNIVERSAL,37,23_01_2021
38,NEW,1,Ava Max,My Head & My Heart,ATLANTIC,WARNER,38,23_01_2021
39,NEW,1,Amel Bent & Hatik,"1,2,3",DEF JAM,UNIVERSAL,39,23_01_2021
40,RE,2,Bad Bunny x Jhay Cortez,Dákiti,RIMAS,RIMAS,40,23_01_2021
41,46,10,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees &Toes,SPINNIN',WARNER,38,23_01_2021
42,RE,3,Ed Sheeran,Afterglow,ATLANTIC,WARNER,30,23_01_2021
43,41,5,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,41,23_01_2021
44,39,23,Sch - Kofs - Jul - Naps - Soso Maness - Elams - Solda -Houari,Bande organisée,RIEN 100 RIEN,PIAS,2,23_01_2021
45,47,13,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,26,23_01_2021
46,RE,6,Dua Lipa feat. DaBaby,Levitating,WARNER,WARNER,27,23_01_2021
47,38,3,Calogero,Celui d'en bas,POLYDOR,UNIVERSAL,38,23_01_2021
48,40,6,Eva [FR],Cœur noir,ALDAM,UNIVERSAL,32,23_01_2021
49,NEW,1,Suarez,Céleste,LABEL ETLABET,PIAS,49,23_01_2021
50,31,28,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1,23_01_2021
1,1,8,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,26_12_2020
2,4,16,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,26_12_2020
3,2,14,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,2,26_12_2020
4,3,13,Vianney,Beau-papa,TOT OU TARD,PIAS,3,26_12_2020
5,5,13,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,4,26_12_2020
6,6,13,BTS,Dynamite,BIGHIT,SONY,6,26_12_2020
7,7,13,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,7,26_12_2020
8,9,12,Clean Bandit and Mabel feat. 24kGoldn,Tick Tock,ATLANTIC,WARNER,8,26_12_2020
9,8,16,Lucky Luke,Cooler Than Me,B1,SONY,8,26_12_2020
10,13,9,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,7,26_12_2020
11,11,7,Julien Doré,Nous,COLUMBIA,SONY,11,26_12_2020
12,10,7,Tiësto,The Business,ATLANTIC,WARNER,10,26_12_2020
13,15,10,Banners,Someone To You,ISLAND,UNIVERSAL,11,26_12_2020
14,40,35,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,26_12_2020
15,16,10,Tate McRae,You Broke Me First,RCA,SONY,15,26_12_2020
16,12,14,Miley Cyrus,Midnight Sky,RCA,SONY,6,26_12_2020
17,14,13,Kendji Girac feat. Gims,Dernier métro,DEF JAM,UNIVERSAL,13,26_12_2020
18,26,10,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,18,26_12_2020
19,17,10,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,15,26_12_2020
20,20,6,Kylie Minogue,Magic,BMG RIGHTS,WARNER/ADA,20,26_12_2020
21,19,18,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,3,26_12_2020
22,23,2,Lil Nas X,Holiday,COLUMBIA,SONY,22,26_12_2020
23,25,21,Amel Bent x Imen Es,Jusqu'au bout,DEF JAM,UNIVERSAL,6,26_12_2020
24,18,6,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,18,26_12_2020
25,22,14,Naza feat. Niska,Joli bébé,CAPIROLESQUE,CAPIROLESQUE,17,26_12_2020
26,30,24,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1,26_12_2020
27,35,5,Maluma & The Weeknd,Hawái (Remix),SONY LATIN,SONY,27,26_12_2020
28,33,2,Indochine feat. Christine And The Queens,3Sex,RCA,SONY,28,26_12_2020
29,21,4,Maître Gims,Jusqu'ici tout va bien,PLAY TWO,SONY,21,26_12_2020
30,29,3,Kygo x Donna Summer,Hot Stuff,RCA,SONY,29,26_12_2020
31,27,5,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',WARNER,27,26_12_2020
32,38,2,Jul & Sch,Mother Fuck,D'OR ET DEPLATINE,PIAS,32,26_12_2020
33,24,19,Sch - Kofs - Jul - Naps - Soso Maness - Elams - Solda -Houari,Bande organisée,RIEN 100 RIEN,PIAS,2,26_12_2020
34,34,12,Justin Bieber feat. Chance The Rapper,Holy,DEF JAM,UNIVERSAL,18,26_12_2020
35,37,4,HVME,Goosebumps,B1,SONY,35,26_12_2020
36,48,2,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,36,26_12_2020
37,32,11,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,29,26_12_2020
38,NEW,1,Suarez feat. Maria Del Rio,Feliz Navidad,LABEL ET LABET,PIAS,38,26_12_2020
39,31,26,Zoe Wees,Control,CAROLINE,UNIVERSAL,3,26_12_2020
40,39,6,Black Eyed Peas x Nicky Jam x Tyga,Vida loca,EPIC,SONY,35,26_12_2020
41,41,7,Alliel,Ce qui nous rend fous,PARLOPHONE,WARNER,30,26_12_2020
42,NEW,1,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,42,26_12_2020
43,36,27,Grand Corps Malade & Camille Lellouche,Mais je t'aime,CAROLINE,UNIVERSAL,12,26_12_2020
44,43,6,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees &Toes,SPINNIN',WARNER,43,26_12_2020
45,RE,10,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,26,26_12_2020
46,42,5,Aya Nakamura feat. Stormzy,Plus jamais,REC. 118,WARNER,36,26_12_2020
47,46,8,Dadju,Amour toxic,POLYDOR,UNIVERSAL,30,26_12_2020
48,NEW,1,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,48,26_12_2020
49,44,3,Eva [FR],Cœur noir,ALDAM,UNIVERSAL,32,26_12_2020
50,50,8,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,37,26_12_2020
1,1,17,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,27_02_2021
2,4,5,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,2,27_02_2021
3,3,7,Black Eyed Peas x Shakira,Girl Like Me,EPIC,SONY,3,27_02_2021
4,2,16,Tiësto,The Business,ATLANTIC,WARNER,2,27_02_2021
5,5,6,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,5,27_02_2021
6,6,19,Tate McRae,You Broke Me First,RCA,SONY,3,27_02_2021
7,13,13,Maître Gims,Jusqu'ici tout va bien,PLAY TWO,SONY,7,27_02_2021
8,7,10,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,4,27_02_2021
9,9,18,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,6,27_02_2021
10,11,8,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,10,27_02_2021
11,12,12,Kygo x Donna Summer,Hot Stuff,RCA,SONY,7,27_02_2021
12,8,8,Ed Sheeran,Afterglow,ATLANTIC,WARNER,8,27_02_2021
13,19,5,Jason Derulo x Nuka,Love Not War (The Tampa Beat),ROBOTS & HUMANS,SONY,13,27_02_2021
14,10,16,Julien Doré,Nous,COLUMBIA,SONY,7,27_02_2021
15,15,4,Sia,Courage To Change,ATLANTIC,WARNER,15,27_02_2021
16,14,11,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,13,27_02_2021
17,16,11,Indochine feat. Christine And The Queens,3Sex,RCA,SONY,8,27_02_2021
18,18,13,HVME,Goosebumps,B1,SONY,18,27_02_2021
19,21,5,The Kid Laroi,Without You,COLUMBIA,SONY,19,27_02_2021
20,17,6,Ava Max,My Head & My Heart,ATLANTIC,WARNER,17,27_02_2021
21,29,4,Les Enfoirés,Maintenant,COLUMBIA,SONY,21,27_02_2021
22,30,7,Bad Bunny x Jhay Cortez,Dákiti,RIMAS,RIMAS,22,27_02_2021
23,26,6,Vitaa & Slimane,De l'or,DEF JAM,UNIVERSAL,23,27_02_2021
24,25,22,Vianney,Beau-papa,TOT OU TARD,PIAS,2,27_02_2021
25,35,3,Ykons,Sequoia Trees,BLUE MILK,TEAM 4 ACTION,25,27_02_2021
26,22,11,Lil Nas X,Holiday,COLUMBIA,SONY,16,27_02_2021
27,34,3,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),MINISTRY OF SOUND,SONY,27,27_02_2021
28,27,25,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,27_02_2021
29,23,8,Calogero,Celui d'en bas,POLYDOR,UNIVERSAL,23,27_02_2021
30,32,5,Suarez,Céleste,LABEL ET LABET,PIAS,30,27_02_2021
31,20,23,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,2,27_02_2021
32,31,5,Amel Bent & Hatik,"1,2,3",DEF JAM,UNIVERSAL,31,27_02_2021
33,NEW,1,JC Stewart,Break My Heart,WARNER,WARNER,33,27_02_2021
34,36,5,Dadju feat. Tiakola,Dieu merci,POLYDOR,UNIVERSAL,34,27_02_2021
35,28,22,BTS,Dynamite,BIGHIT,SONY,3,27_02_2021
36,48,2,atb x Topic x A7S,Your Love (9PM),RIDE,RIDE,36,27_02_2021
37,45,2,Kendji Girac,Évidemment,DEF JAM,UNIVERSAL,37,27_02_2021
38,43,14,Justin Bieber & Benny Blanco,Lonely,DEF JAM/INTERSCOPE,UNIVERSAL,37,27_02_2021
39,47,2,Delta [BE],Nirvana,BMG RIGHTS,UNIVERSAL,39,27_02_2021
40,NEW,1,Ashnikko feat. Kelis,Deal With It,PARLOPHONE,WARNER,40,27_02_2021
41,RE,39,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,27_02_2021
42,39,22,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,6,27_02_2021
43,38,4,Julie Zenatti,Paisiblement fou,VICTOR'S SONG,VICTOR'S SONG,38,27_02_2021
44,RE,24,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,3,27_02_2021
45,NEW,1,Shane Codd,Get Out My Head,POLYDOR,UNIVERSAL,45,27_02_2021
46,RE,28,Amel Bent x Imen Es,Jusqu'au bout,DEF JAM,UNIVERSAL,6,27_02_2021
47,NEW,1,CJ,Whoopty,CJ,WARNER,47,27_02_2021
48,NEW,1,Kid Noize feat. Gio Kemper,Monster Next Door,UNIVERSAL,UNIVERSAL,48,27_02_2021
49,40,6,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,31,27_02_2021
50,42,19,Banners,Someone To You,ISLAND,UNIVERSAL,11,27_02_2021
1,1,4,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,28_11_2020
2,2,12,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,28_11_2020
3,3,10,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,3,28_11_2020
4,4,9,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,4,28_11_2020
5,9,9,Vianney,Beau-papa,TOT OU TARD,PIAS,5,28_11_2020
6,5,14,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,3,28_11_2020
7,7,17,Amel Bent x Imen Es,Jusqu'au bout,DEF JAM,UNIVERSAL,6,28_11_2020
8,12,9,BTS,Dynamite,BIGHIT,SONY,8,28_11_2020
9,13,9,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,9,28_11_2020
10,11,5,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,10,28_11_2020
11,23,6,Banners,Someone To You,ISLAND,UNIVERSAL,11,28_11_2020
12,8,12,Lucky Luke,Cooler Than Me,B1,SONY,8,28_11_2020
13,10,10,Miley Cyrus,Midnight Sky,RCA,SONY,10,28_11_2020
14,6,20,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1,28_11_2020
15,14,8,Clean Bandit and Mabel feat. 24kGoldn,Tick Tock,ATLANTIC,WARNER,14,28_11_2020
16,22,11,Kygo x Tina Turner,What's Love Got To DoWith It,SONY,SONY,6,28_11_2020
17,21,6,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,17,28_11_2020
18,20,8,Justin Bieber feat. Chance The Rapper,Holy,DEF JAM,UNIVERSAL,18,28_11_2020
19,15,15,Sch - Kofs - Jul - Naps - Soso Maness - Elams - Solda- Houari,Bande organisée,RIEN 100 RIEN,PIAS,2,28_11_2020
20,29,3,Julien Doré,Nous,COLUMBIA,SONY,20,28_11_2020
21,19,6,Tate McRae,You Broke Me First,RCA,SONY,19,28_11_2020
22,18,10,Naza feat. Niska,Joli bébé,CAPIROLESQUE,CAPIROLESQUE,17,28_11_2020
23,NEW,1,Zola feat. Sch,9 1 1 3,AWA,SONY,23,28_11_2020
24,16,22,Zoe Wees,Control,CAROLINE,UNIVERSAL,3,28_11_2020
25,17,9,Kendji Girac feat. Gims,Dernier métro,DEF JAM,UNIVERSAL,13,28_11_2020
26,41,2,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,26,28_11_2020
27,28,6,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,27,28_11_2020
28,24,7,Vitaa & Slimane,Ça ira,DEF JAM,UNIVERSAL,20,28_11_2020
29,30,7,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,29,28_11_2020
30,34,4,Dadju,Amour toxic,POLYDOR,UNIVERSAL,30,28_11_2020
31,44,3,Alliel,Ce qui nous rend fous,PARLOPHONE,WARNER,31,28_11_2020
32,43,3,Tiësto,The Business,ATLANTIC,WARNER,32,28_11_2020
33,RE,2,Mika & Soprano,Le cœur Holiday,REPUBLIC,UNIVERSAL,33,28_11_2020
34,26,7,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,26,28_11_2020
35,32,15,Calogero,La rumeur,POLYDOR,UNIVERSAL,18,28_11_2020
36,NEW,1,Aya Nakamura feat. Stormzy,Plus jamais,REC. 118,WARNER,36,28_11_2020
37,37,2,Kylie Minogue,Magic,BMG RIGHTS,WARNER/ADA,37,28_11_2020
38,31,5,Koba LaD feat. Maes & Zed,Coffre plein,CAPITOL,UNIVERSAL,7,28_11_2020
39,39,4,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,37,28_11_2020
40,33,18,Louane,Donne-moi ton cœur,MERCURY,UNIVERSAL,8,28_11_2020
41,35,23,Grand Corps Malade & Camille Lellouche,Mais je t'aime,CAROLINE,UNIVERSAL,12,28_11_2020
42,NEW,1,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',WARNER,42,28_11_2020
43,48,3,Black Eyed Peas x Nicky Jam x Tyga,Vida loca,EPIC,SONY,43,28_11_2020
44,49,4,Lucenzo,No me ama,PLAY TWO,WARNER,37,28_11_2020
45,47,15,Franglish feat. Tory Lanez,My Salsa,DEF JAM,UNIVERSAL,35,28_11_2020
46,36,18,Aya Nakamura,Jolie nana,REC. 118,WARNER,2,28_11_2020
47,NEW,1,Maluma & The Weeknd,Hawái (Remix),SONY LATIN,SONY,47,28_11_2020
48,RE,2,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees &Toes,SPINNIN',WARNER,47,28_11_2020
49,NEW,1,Dadju feat. Tiakola,Dieu merci,POLYDOR,UNIVERSAL,49,28_11_2020
50,46,5,Pop Smoke,What You Know BoutLove,REPUBLIC,TOPNOTCH/UNIVERSAL,38,28_11_2020
1,1,13,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,30_01_2021
2,10,18,Vianney,Beau-papa,TOT OU TARD,PIAS,2,30_01_2021
3,2,19,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,2,30_01_2021
4,5,15,Tate McRae,You Broke Me First,RCA,SONY,4,30_01_2021
5,4,12,Tiësto,The Business,ATLANTIC,WARNER,4,30_01_2021
6,9,14,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,6,30_01_2021
7,3,18,BTS,Dynamite,BIGHIT,SONY,3,30_01_2021
8,7,12,Julien Doré,Nous,COLUMBIA,SONY,7,30_01_2021
9,8,7,Indochine feat. Christine And The Queens,3Sex,RCA,SONY,8,30_01_2021
10,20,8,Kygo x Donna Summer,Hot Stuff,RCA,SONY,10,30_01_2021
11,6,18,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,6,30_01_2021
12,21,6,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,12,30_01_2021
13,13,2,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,13,30_01_2021
14,25,9,Maître Gims,Jusqu'ici tout va bien,PLAY TWO,SONY,14,30_01_2021
15,11,21,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,30_01_2021
16,34,7,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,16,30_01_2021
17,24,3,Black Eyed Peas x Shakira,Girl Like Me,EPIC,SONY,17,30_01_2021
18,17,7,Lil Nas X,Holiday,COLUMBIA,SONY,17,30_01_2021
19,28,9,HVME,Goosebumps,B1,SONY,19,30_01_2021
20,18,15,Banners,Someone To You,ISLAND,UNIVERSAL,11,30_01_2021
21,23,4,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,21,30_01_2021
22,19,11,Kylie Minogue,Magic,BMG RIGHTS,WARNER/ADA,19,30_01_2021
23,15,18,Kendji Girac feat. Gims,Dernier métro,DEF JAM,UNIVERSAL,11,30_01_2021
24,14,11,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,14,30_01_2021
25,30,18,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,4,30_01_2021
26,22,10,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',SPINNIN',22,30_01_2021
27,RE,2,Tones And I,Fly Away,ELEKTRA,WARNER,27,30_01_2021
28,12,17,Clean Bandit and Mabel feat. 24kGoldn,Tick Tock,ATLANTIC,WARNER,8,30_01_2021
29,35,7,Amir [FR],On verra bien,PARLOPHONE,WARNER,29,30_01_2021
30,31,26,Amel Bent x Imen Es,Jusqu'au bout,DEF JAM,UNIVERSAL,6,30_01_2021
31,RE,2,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,31,30_01_2021
32,42,4,Ed Sheeran,Afterglow,ATLANTIC,WARNER,30,30_01_2021
33,NEW,1,Jason Derulo x Nuka,Love Not War (The Tampa Beat),ROBOTS & HUMANS,SONY,33,30_01_2021
34,38,2,Ava Max,My Head & My Heart,ATLANTIC,WARNER,34,30_01_2021
35,29,10,Maluma & The Weeknd,Hawái (Remix),SONY LATIN,SONY,27,30_01_2021
36,40,3,Bad Bunny x Jhay Cortez,Dákiti,RIMAS,RIMAS,36,30_01_2021
37,43,6,Shawn Mendes / Justin Bieber,Monster,ISLAND,UNIVERSAL,37,30_01_2021
38,RE,4,M. Pokora,S'en aller,TF1,SONY,34,30_01_2021
39,37,2,Vitaa & Slimane,De l'or,DEF JAM,UNIVERSAL,37,30_01_2021
40,36,4,Louane,Désolée,MERCURY,UNIVERSAL,36,30_01_2021
41,33,2,Grand Corps Malade,Pas essentiel,CAROLINE,UNIVERSAL,33,30_01_2021
42,50,29,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),ELEKTRA,WARNER,1,30_01_2021
43,32,21,Lucky Luke,Cooler Than Me,B1,SONY,8,30_01_2021
44,47,4,Calogero,Celui d'en bas,POLYDOR,UNIVERSAL,38,30_01_2021
45,NEW,1,The Kid Laroi,Without You,COLUMBIA,SONY,45,30_01_2021
46,RE,10,Justin Bieber & Benny Blanco,Lonely,DEF JAM/INTERSCOPE,UNIVERSAL,37,30_01_2021
47,16,19,Miley Cyrus,Midnight Sky,RCA,SONY,6,30_01_2021
48,27,23,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,3,30_01_2021
49,NEW,1,The Weeknd,Save Your Tears,REPUBLIC,UNIVERSAL,49,30_01_2021
50,NEW,1,Julie Zenatti,Paisiblement fou,VICTOR'S SONG,VICTOR'S SONG,50,30_01_2021
