#,VW,W,Artiest,Titel,Label,Distributeur,HP,fileDate
39,44,10,5napback & Metejoor,Hoe kon ik zo dom zijn,MOSTIKO,CNR,27,09_01_2021
40,47,11,Keith Urban with P!nk,One Too Many,CAPITOL,UNIVERSAL,26,09_01_2021
41,39,9,Milow,First Day Of My Life,HOMERUN,SONY,28,09_01_2021
42,49,8,James Arthur,Train Wreck,COLUMBIA,SONY,41,09_01_2021
43,37,8,Harry Styles,Golden,COLUMBIA,SONY,37,09_01_2021
44,RE,2,Jason Derulo x Nuka,Love Not War (The TampaBeat),ROBOTS & HUMANS,SONY,44,09_01_2021
45,46,29,Jawsh 685 & Jason Derulo,Savage Love (Laxed - SirenBeat),COLUMBIA,SONY,1,09_01_2021
46,NEW,1,Taylor Swift,Willow,REPUBLIC,UNIVERSAL,46,09_01_2021
47,48,2,Nothing But Thieves,Impossible,RCA,SONY,47,09_01_2021
48,43,16,James Bay,Chew On My Heart,REPUBLIC,UNIVERSAL,36,09_01_2021
49,RE,26,Ava Max,Kings & Queens,ATLANTIC,WARNER,4,09_01_2021
50,45,14,Pop Smoke,What You Know Bout Love,REPUBLIC,TOPNOTCH/UNIVERSAL,26,09_01_2021
1,1,6,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,12_12_2020
2,3,18,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1,12_12_2020
3,2,9,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,2,12_12_2020
4,5,14,Tate McRae,You Broke Me First,RCA,SONY,4,12_12_2020
5,4,15,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,12_12_2020
6,6,7,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6,12_12_2020
7,13,4,Regi & Camille,Vechter,DPG/INMEDIATEINT,CNR,7,12_12_2020
8,7,11,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4,12_12_2020
9,9,16,Miley Cyrus,Midnight Sky,RCA,SONY,6,12_12_2020
10,11,4,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10,12_12_2020
11,16,9,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,11,12_12_2020
12,18,13,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11,12_12_2020
13,21,53,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,12_12_2020
14,20,10,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14,12_12_2020
15,8,16,BTS,Dynamite,BIGHIT,SONY,6,12_12_2020
16,15,12,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15,12_12_2020
17,12,12,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,8,12_12_2020
18,10,19,Master KG feat. Burna Boy & NomceboZikode,Jerusalema (Remix),ELEKTRA,WARNER,1,12_12_2020
19,38,28,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2,12_12_2020
